axis,rating_A,rating_B,count
presence,False,False,0
presence,False,uncertain,1
presence,False,True,0
presence,uncertain,False,0
presence,uncertain,uncertain,0
presence,uncertain,True,0
presence,True,False,41
presence,True,uncertain,15
presence,True,True,43
relevance,none,none,7
relevance,none,secondary,0
relevance,none,primary,27
relevance,secondary,none,0
relevance,secondary,secondary,0
relevance,secondary,primary,5
relevance,primary,none,3
relevance,primary,secondary,0
relevance,primary,primary,58
support,contradicts,contradicts,0
support,contradicts,neutral,0
support,contradicts,supports,2
support,neutral,contradicts,10
support,neutral,neutral,6
support,neutral,supports,19
support,supports,contradicts,8
support,supports,neutral,3
support,supports,supports,52
