image,label,ssa_votes,partition,tile_tissue_pct,n_empty_cells,min_cell_pct,max_cell_pct
MHIST_aaa.png,SSA,6,train,71.68,2,0.0,100.0
MHIST_aab.png,HP,0,train,96.81,0,77.87,100.0
MHIST_aac.png,SSA,5,train,53.18,4,0.0,100.0
MHIST_aad.png,SSA,7,test,56.34,1,4.78,98.47
MHIST_aae.png,HP,1,train,66.75,2,0.19,99.08
MHIST_aaf.png,SSA,5,train,84.73,0,32.3,99.81
MHIST_aag.png,HP,2,test,41.26,5,0.0,94.01
MHIST_aah.png,HP,2,test,51.43,4,0.0,100.0
MHIST_aai.png,HP,3,train,64.37,0,31.7,92.89
MHIST_aaj.png,HP,0,train,76.55,0,5.87,98.28
MHIST_aak.png,HP,2,train,80.25,0,39.67,97.0
MHIST_aal.png,SSA,5,train,61.1,2,0.0,97.86
MHIST_aam.png,HP,0,train,66.77,3,0.0,99.33
MHIST_aan.png,SSA,6,train,41.36,7,0.0,99.14
MHIST_aao.png,HP,0,train,90.62,0,62.02,99.55
MHIST_aap.png,HP,2,train,73.6,0,22.99,96.94
MHIST_aaq.png,SSA,5,test,73.51,2,0.0,99.84
MHIST_aar.png,HP,0,test,83.27,0,30.77,99.9
MHIST_aas.png,SSA,4,train,89.03,0,78.03,97.83
MHIST_aat.png,HP,0,train,77.82,1,2.49,94.74
MHIST_aau.png,HP,0,train,80.66,1,0.16,99.3
MHIST_aav.png,HP,0,train,56.25,4,0.0,99.97
MHIST_aaw.png,HP,0,train,55.55,1,0.03,88.17
MHIST_aax.png,HP,0,train,48.21,4,0.0,99.46
MHIST_aay.png,HP,1,test,73.19,1,0.0,98.79
MHIST_aaz.png,SSA,7,test,54.34,3,0.0,99.78
MHIST_aba.png,HP,0,train,70.47,2,0.0,99.81
MHIST_abb.png,SSA,7,test,43.69,3,0.0,96.75
MHIST_abc.png,HP,0,train,52.44,5,0.0,98.66
MHIST_abd.png,HP,0,train,93.02,0,42.44,99.97
MHIST_abe.png,SSA,7,test,61.95,4,0.0,98.92
MHIST_abf.png,HP,2,train,73.21,0,16.68,99.94
MHIST_abg.png,HP,0,train,44.27,5,0.03,90.98
MHIST_abh.png,SSA,4,train,81.59,0,8.51,99.33
MHIST_abi.png,SSA,6,train,64.28,3,0.0,100.0
MHIST_abj.png,HP,1,train,93.62,0,82.97,98.82
MHIST_abk.png,HP,2,train,39.32,6,0.0,91.2
MHIST_abl.png,HP,1,train,41.19,7,0.0,96.94
MHIST_abm.png,HP,0,train,91.86,0,65.72,99.9
MHIST_abn.png,HP,2,train,56.2,1,0.0,86.35
MHIST_abo.png,SSA,7,train,63.36,1,0.0,95.22
MHIST_abp.png,HP,0,train,52.38,3,0.0,96.84
MHIST_abq.png,HP,0,train,45.66,4,0.0,94.13
MHIST_abr.png,SSA,5,train,67.25,2,0.0,99.81
MHIST_abs.png,HP,2,test,80.46,0,57.59,100.0
MHIST_abt.png,SSA,7,train,80.93,0,5.2,99.97
MHIST_abu.png,HP,1,train,74.14,0,20.06,94.8
MHIST_abv.png,HP,0,train,83.31,0,14.57,100.0
MHIST_abw.png,HP,0,train,48.18,6,0.0,100.0
MHIST_abx.png,HP,0,test,63.22,3,0.0,94.87
MHIST_aby.png,HP,3,train,64.19,0,12.05,98.85
MHIST_abz.png,HP,0,train,47.39,6,0.0,99.14
MHIST_aca.png,SSA,6,train,50.14,3,0.06,94.2
MHIST_acb.png,HP,0,test,79.06,1,0.06,100.0
MHIST_acc.png,SSA,7,train,56.58,2,0.0,97.0
MHIST_acd.png,HP,0,train,62.79,2,0.0,93.75
MHIST_ace.png,SSA,4,train,39.42,0,10.01,84.63
MHIST_acf.png,SSA,4,train,66.83,2,0.0,96.59
MHIST_acg.png,HP,3,test,84.39,0,39.64,99.97
MHIST_ach.png,HP,0,train,68.47,2,0.0,97.42
MHIST_aci.png,HP,2,train,67.0,0,27.84,84.12
MHIST_acj.png,HP,0,train,44.86,8,0.0,99.84
MHIST_ack.png,HP,0,train,94.27,0,79.66,99.14
MHIST_acl.png,HP,0,train,66.02,4,0.1,97.54
MHIST_acm.png,SSA,5,train,65.26,1,0.0,99.2
MHIST_acn.png,HP,2,train,62.01,4,0.0,99.84
MHIST_aco.png,HP,3,test,53.4,4,0.03,95.41
MHIST_acp.png,SSA,7,train,49.94,5,0.0,99.9
MHIST_acq.png,HP,2,test,76.85,1,4.18,100.0
MHIST_acr.png,HP,3,train,79.34,0,15.91,98.44
MHIST_acs.png,HP,0,train,66.19,1,0.38,98.85
MHIST_act.png,HP,1,train,85.87,0,22.61,99.74
MHIST_acu.png,HP,0,train,68.68,0,11.45,99.2
MHIST_acv.png,SSA,4,train,60.35,1,0.22,95.57
MHIST_acw.png,HP,0,test,45.69,7,0.0,99.97
MHIST_acx.png,HP,1,train,88.59,0,72.48,97.54
MHIST_acy.png,HP,1,test,87.42,0,45.44,99.62
MHIST_acz.png,HP,0,train,65.24,1,3.51,99.62
MHIST_ada.png,SSA,5,train,77.64,1,4.27,99.2
