feature,occlusion,n_images,n_image_features,mean_comprehensiveness,mean_sufficiency,mean_effect_over_control,effect_ci_low,effect_ci_high,wilcoxon_p,cited_flip_rate,faithful_rate_over_p95_control,inferentially_eligible,wilcoxon_p_bh
crypt/gland architecture,black,975,975,0.2004835597674052,0.39558263502059837,-0.05133070131139018,-0.0577726178045593,-0.04485644354860475,4.918418486640355e-45,0.3425641025641026,0.07076923076923076,True,1.967367394656142e-44
crypt/gland architecture,blur,975,975,0.15860383556439325,0.3726915824260467,-0.040688331189835274,-0.04721742559148886,-0.03411979720232246,3.1769017911032396e-31,0.25435897435897437,0.11794871794871795,True,7.624564298647775e-31
crypt/gland architecture,mean,975,975,0.182874676493498,0.49476202788452306,-0.05398064673256848,-0.060570563913977214,-0.04736542027972712,1.7142207841027014e-47,0.28717948717948716,0.10153846153846154,True,2.0570649409232417e-46
mitotic figures,black,1,1,-0.1788015365600586,-0.13905072212219238,-0.07060792446136474,-0.07060792446136474,-0.07060792446136474,,0.0,0.0,False,
mitotic figures,blur,1,1,-0.1117449402809143,-0.14063280820846558,-0.06340522766113281,-0.06340522766113281,-0.06340522766113281,,0.0,0.0,False,
mitotic figures,mean,1,1,-0.14992719888687134,-0.3678705096244812,-0.08905538022518159,-0.08905538022518159,-0.08905538022518159,,0.0,0.0,False,
nuclear atypia,black,211,211,0.16826941284805677,0.3830853745129436,-0.0365124617065123,-0.047107932942556024,-0.025909480154371816,2.9526412666819406e-10,0.25118483412322273,0.07109004739336493,True,3.936855022242587e-10
nuclear atypia,blur,211,211,0.13355887388166093,0.34338514252579044,-0.02428298181575729,-0.035696276917499284,-0.01288811491284859,1.037617025922102e-05,0.22748815165876776,0.10426540284360189,True,1.037617025922102e-05
nuclear atypia,mean,211,211,0.1475107631694649,0.47235449550064257,-0.03728155747317387,-0.049059967052888336,-0.02535980522863441,5.940519258436871e-10,0.25118483412322273,0.12322274881516587,True,7.128623110124245e-10
serration,black,977,977,0.19922336491783785,0.3939862940212599,-0.05596548099648767,-0.06327351201970238,-0.048634498554059845,4.824598710986174e-44,0.3193449334698055,0.07778915046059365,True,1.4473796132958523e-43
serration,blur,977,977,0.15995067507486138,0.37300839556901577,-0.039742933739792596,-0.046603240327144184,-0.032829776307557124,7.052057622000217e-26,0.24667349027635618,0.12384851586489252,True,1.2089241637714658e-25
serration,mean,977,977,0.18321875865621723,0.49204368225109124,-0.056491135282901804,-0.06363214067267813,-0.04936236949098262,2.1603287327266965e-46,0.300921187308086,0.08290685772773797,True,1.296197239636018e-45
stroma,black,4,4,0.1343425139784813,0.335811261087656,-0.04596622174507693,-0.0679515317082405,-0.02398091178191336,,0.25,0.0,False,
stroma,blur,4,4,0.06435488909482956,0.3576287440955639,-0.0847455053639255,-0.1262860302960402,-0.04795922525227069,,0.25,0.0,False,
stroma,mean,4,4,0.09367671608924866,0.40069564431905746,-0.08948199984274413,-0.12070136031037884,-0.05892584919929506,,0.25,0.0,False,
surface epithelium,black,330,330,0.1357485748375907,0.38913358830367073,-0.07941129616467137,-0.09044149973829171,-0.06846645842734513,6.351373708601823e-31,0.23333333333333334,0.05757575757575758,True,1.2702747417203644e-30
surface epithelium,blur,330,330,0.12403155149835529,0.3333406414949533,-0.02635163210822535,-0.03622408470331269,-0.016403329878969603,2.8649101646402376e-07,0.21818181818181817,0.10909090909090909,True,3.1253565432438956e-07
surface epithelium,mean,330,330,0.1423378923625657,0.47847837686651584,-0.049995721115069315,-0.059964390831860864,-0.04009990981688179,2.853510534815194e-19,0.22727272727272727,0.09090909090909091,True,4.2802658022227907e-19
