min_controls,occlusion,n_images,n_image_features,mean_comprehensiveness,mean_sufficiency,mean_effect_over_control,effect_ci_low,effect_ci_high,wilcoxon_p,cited_flip_rate,faithful_rate_over_p95_control,inferentially_eligible,wilcoxon_p_bh
1,black,977,2498,0.19143406936599508,0.39533396599625553,-0.05597951317415537,-0.060787331413819354,-0.05118803405162059,5.827646155828991e-82,0.31525076765609006,0.07301262367792562,True,1.7482938467486974e-81
1,blur,977,2498,0.15359891767806463,0.36800919269112775,-0.038015606858087574,-0.042656670823904216,-0.03343359308780065,7.615142613485283e-48,0.2436028659160696,0.11804844762879564,True,7.615142613485283e-48
1,mean,977,2498,0.17687066125101053,0.4927768259131611,-0.053920419941796756,-0.05882571125489203,-0.049031417995995814,9.152056501200663e-76,0.2836915728420334,0.09450699419993176,True,1.3728084751800995e-75
5,black,957,2378,0.19002924693825557,0.39585941158253235,-0.05728591661060445,-0.06219733857991848,-0.05234818483592521,3.9984626426473106e-81,0.3120863810518983,0.06287008011145942,True,1.199538792794193e-80
5,blur,957,2378,0.1537763496769384,0.368217618985459,-0.03726869797182128,-0.042115158200257775,-0.03240148681615397,2.8109293649439665e-45,0.2453848833159178,0.11215604319052594,True,2.8109293649439665e-45
5,mean,957,2378,0.17586608187729208,0.4932984403869476,-0.05457201168656877,-0.05956834669937627,-0.04955122311715134,1.819184649199511e-76,0.2836990595611285,0.08289794496691047,True,2.7287769737992668e-76
10,black,931,2262,0.18802771200731028,0.39436711802361074,-0.05807949791934113,-0.06306234850399757,-0.05304640423875243,2.7105040117259872e-80,0.3145363408521303,0.06176154672395274,True,8.131512035177962e-80
10,blur,931,2262,0.151689610716437,0.3648850740561434,-0.03760159527411822,-0.042400567691849245,-0.03282285609942654,2.999779784135307e-45,0.24597207303974222,0.10436806301467955,True,2.999779784135307e-45
10,mean,931,2262,0.17310833596186614,0.4886451142416941,-0.05534933739446864,-0.0604619037514263,-0.050296677622914523,7.47590774726602e-76,0.2789115646258503,0.07930540637307554,True,1.121386162089903e-75
20,black,882,2063,0.18705963431093744,0.3883765577848998,-0.05805387329894455,-0.0633538643119787,-0.052723586914980095,8.060385526457968e-73,0.31727135298563874,0.060090702947845805,True,1.209057828968695e-72
20,blur,882,2063,0.15062069910341197,0.3611474668899958,-0.037941702932664224,-0.04298028617602695,-0.03295225230358873,1.1372129348271436e-41,0.24527588813303097,0.09901738473167045,True,1.1372129348271437e-41
20,mean,882,2063,0.17033167286738696,0.4826889882090861,-0.05718201191969869,-0.062494981449783917,-0.05191447512889108,4.957958570071454e-73,0.2781557067271353,0.07785336356764927,True,1.209057828968695e-72
