image,label,ssa_votes_out_of_7,agreement_band,control_class,tile_tissue_pct,n_empty_cells,overlay_pct_of_tile,overlay_pct_of_tissue_occluded
MHIST_dbe.png,HP,3,borderline,negative-control-rich,48.42,4,7.6,8.23
MHIST_cve.png,HP,3,borderline,negative-control-rich,62.9,2,7.6,6.96
MHIST_ddn.png,HP,3,borderline,dense,92.3,0,7.6,7.29
MHIST_ekm.png,SSA,4,borderline,negative-control-rich,56.82,4,7.6,6.59
MHIST_cmt.png,SSA,4,borderline,negative-control-rich,61.49,2,7.6,8.34
MHIST_apc.png,SSA,4,borderline,dense,77.74,0,7.6,6.94
MHIST_bmy.png,SSA,4,borderline,dense,92.91,0,7.6,7.52
MHIST_epo.png,HP,2,strong,negative-control-rich,55.76,4,7.6,6.86
MHIST_ajp.png,HP,2,strong,negative-control-rich,54.33,3,7.6,6.64
MHIST_dey.png,HP,2,strong,dense,65.06,0,7.6,6.98
MHIST_epj.png,HP,1,strong,dense,97.69,0,7.6,7.72
MHIST_elb.png,SSA,6,strong,negative-control-rich,44.68,4,7.6,7.62
MHIST_ekh.png,SSA,6,strong,negative-control-rich,54.81,3,7.6,7.46
MHIST_bqc.png,SSA,6,strong,dense,65.32,0,7.6,7.15
MHIST_ccn.png,HP,0,unanimous,negative-control-rich,41.52,4,7.6,5.77
MHIST_bxx.png,HP,0,unanimous,negative-control-rich,59.83,3,7.6,8.21
MHIST_cdr.png,HP,0,unanimous,dense,92.92,0,7.6,7.97
MHIST_cxx.png,SSA,7,unanimous,negative-control-rich,59.03,4,7.6,7.7
MHIST_abb.png,SSA,7,unanimous,negative-control-rich,43.69,3,7.59,8.33
MHIST_dtq.png,SSA,7,unanimous,dense,83.82,0,7.6,7.34
