axis,rater,rating,count,proportion
presence,A,False,1,0.01
presence,A,uncertain,0,0.0
presence,A,True,99,0.99
presence,B,False,41,0.41
presence,B,uncertain,16,0.16
presence,B,True,43,0.43
relevance,A,none,34,0.34
relevance,A,secondary,5,0.05
relevance,A,primary,61,0.61
relevance,B,none,10,0.1
relevance,B,secondary,0,0.0
relevance,B,primary,90,0.9
support,A,contradicts,2,0.02
support,A,neutral,35,0.35
support,A,supports,63,0.63
support,B,contradicts,18,0.18
support,B,neutral,9,0.09
support,B,supports,73,0.73
